CustomerID,Gender,ZIP,SocioEconomicIndex,PD_Rating,ReturningCustomer,BackupCard,StandingOrder,CreditProducts,CreditProductCode,IsBankCard,CardStatus,DebtHistory_1_Date,DebtHistory_1_Amount,DebtHistory_1_ReturnReason,DebtHistory_1_CollectionChannel,DebtHistory_1_CollectionChannelCode,DebtHistory_1_CollectionDays,DebtHistory_2_Date,DebtHistory_2_Amount,DebtHistory_2_ReturnReason,DebtHistory_2_CollectionChannel,DebtHistory_2_CollectionChannelCode,DebtHistory_2_CollectionDays,DebtHistory_3_Date,DebtHistory_3_Amount,DebtHistory_3_ReturnReason,DebtHistory_3_CollectionChannel,DebtHistory_3_CollectionChannelCode,DebtHistory_3_CollectionDays,DebtHistory_4_Date,DebtHistory_4_Amount,DebtHistory_4_ReturnReason,DebtHistory_4_CollectionChannel,DebtHistory_4_CollectionChannelCode,DebtHistory_4_CollectionDays,DebtHistory_5_Date,DebtHistory_5_Amount,DebtHistory_5_ReturnReason,DebtHistory_5_CollectionChannel,DebtHistory_5_CollectionChannelCode,DebtHistory_5_CollectionDays,Alert_1_Code,Alert_1_Date,Alert_2_Code,Alert_2_Date,Alert_3_Code,Alert_3_Date,Alert_4_Code,Alert_4_Date,Alert_5_Code,Alert_5_Date
600000,Other,83902,8,Medium,1,0,1,Loan,3,1,Expired,2019-09-26,192.83,CardExpired,CallCenter,1,179,2019-11-25,176.87,TechnicalError,Branch,1,132,2020-01-24,9101.57,CardExpired,App,2,167,2020-03-24,9226.63,InsufficientFunds,Branch,3,118,2020-05-23,12184.83,CardExpired,Branch,3,88,142,2020-12-31,,,,,,,179,2021-11-27
600001,Female,55311,3,Medium,0,1,1,CreditCard,4,0,Active,2016-12-13,4810.13,TechnicalError,Branch,1,115,2017-02-11,3423.18,CardExpired,Branch,2,211,2017-04-12,7587.74,InsufficientFunds,App,3,80,,,,,,,,,,,,,,,,,137,2021-04-11,,,,
600002,Male,85422,5,High,1,0,0,Loan,2,0,Blocked,2018-04-27,12697.11,InsufficientFunds,Branch,3,41,2018-06-26,1291.69,CardExpired,Branch,1,235,2018-08-25,7769.54,CardExpired,CallCenter,3,128,2018-10-24,2526.79,InsufficientFunds,Branch,1,120,2018-12-23,5564.87,TechnicalError,CallCenter,1,53,197,2018-11-23,,,131,2025-08-01,103,2021-12-09,,
600003,Male,49943,4,High,1,1,0,Mortgage,4,1,Expired,2025-07-22,3987.74,CardExpired,CallCenter,1,204,2025-09-20,13546.09,CardExpired,CallCenter,2,38,2025-11-19,1339.44,CardExpired,Branch,1,30,,,,,,,,,,,,,,,,,,,,,,
600004,Male,96928,4,Low,0,1,0,Loan,3,1,Expired,2016-07-10,255.36,CardExpired,App,2,5,2016-09-08,697.36,InsufficientFunds,CallCenter,3,27,2016-11-07,13575.21,CardExpired,App,1,58,2017-01-06,7608.12,TechnicalError,Branch,2,29,,,,,,,,,102,2020-09-16,,,,,190,2018-10-27
600005,Female,11270,9,High,0,1,1,Loan,1,0,Expired,2022-01-23,11332.45,InsufficientFunds,CallCenter,1,118,2022-03-24,3482.02,InsufficientFunds,App,3,235,2022-05-23,9795.8,CardExpired,App,2,133,,,,,,,,,,,,,,,137,2022-02-03,,,129,2018-10-20,102,2017-03-11
600006,Male,70997,9,Medium,1,0,0,Mortgage,4,1,Blocked,2018-03-09,3401.56,InsufficientFunds,CallCenter,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,2023-12-18
600007,Other,33452,4,Low,0,1,0,Mortgage,2,1,Blocked,2016-11-19,12923.77,TechnicalError,CallCenter,2,47,2017-01-18,4129.91,TechnicalError,App,1,23,2017-03-19,11359.17,CardExpired,CallCenter,2,94,2017-05-18,8490.98,InsufficientFunds,App,2,119,,,,,,,100,2023-09-07,,,,,,,,
600008,Male,71121,2,Medium,0,1,0,Loan,1,1,Blocked,2017-06-17,7278.33,InsufficientFunds,CallCenter,3,57,2017-08-16,8299.1,CardExpired,CallCenter,3,106,,,,,,,,,,,,,,,,,,,137,2017-05-30,,,,,,,,
600009,Other,86409,6,Low,1,1,0,Mortgage,3,0,Active,2016-06-26,14794.75,TechnicalError,Branch,1,3,2016-08-25,1451.05,InsufficientFunds,Branch,3,50,2016-10-24,4487.2,CardExpired,CallCenter,2,40,,,,,,,,,,,,,,,,,,,,,,
600010,Female,64413,8,Low,0,0,0,Mortgage,2,0,Blocked,2019-03-18,1127.64,InsufficientFunds,App,3,105,2019-05-17,157.7,CardExpired,App,2,77,2019-07-16,14370.62,CardExpired,App,2,24,2019-09-14,592.59,InsufficientFunds,CallCenter,2,14,,,,,,,160,2023-03-02,116,2022-04-01,100,2019-10-10,173,2022-09-04,,
600011,Other,62757,5,Medium,0,1,1,Loan,1,0,Expired,2018-11-11,9679.8,TechnicalError,Branch,3,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600012,Other,78745,6,High,1,0,0,Loan,1,0,Blocked,2019-04-10,3827.11,TechnicalError,Branch,1,10,2019-06-09,8030.2,InsufficientFunds,CallCenter,2,65,2019-08-08,9905.34,CardExpired,App,2,2,2019-10-07,6533.17,TechnicalError,Branch,2,162,,,,,,,104,2023-12-01,118,2019-09-23,,,,,101,2021-02-17
600013,Other,80102,3,Low,0,0,1,CreditCard,4,0,Active,2022-01-25,1018.27,CardExpired,CallCenter,3,148,2022-03-26,7247.35,TechnicalError,App,1,3,2022-05-25,419.9,TechnicalError,CallCenter,2,16,2022-07-24,9414.6,InsufficientFunds,App,1,25,2022-09-22,7588.06,CardExpired,App,2,40,106,2018-02-12,148,2025-08-29,,,,,116,2020-04-15
600014,Male,68494,5,Low,0,1,1,Mortgage,3,0,Active,2016-02-25,3330.6,CardExpired,Branch,2,198,2016-04-25,8073.05,InsufficientFunds,App,2,183,2016-06-24,12728.43,CardExpired,CallCenter,3,115,2016-08-23,12539.2,CardExpired,Branch,2,26,2016-10-22,277.63,CardExpired,App,3,123,,,,,,,,,178,2020-01-15
600015,Female,51814,1,Low,0,1,1,Mortgage,4,0,Active,2024-09-05,9820.63,CardExpired,CallCenter,2,129,2024-11-04,1616.31,InsufficientFunds,App,2,39,2025-01-03,3926.85,InsufficientFunds,CallCenter,2,45,2025-03-04,787.99,CardExpired,Branch,1,50,2025-05-03,769.47,InsufficientFunds,CallCenter,3,127,159,2024-04-08,,,,,,,162,2023-11-19
600016,Female,40543,3,Medium,0,0,0,Loan,4,0,Expired,2022-05-04,13691.11,TechnicalError,CallCenter,3,220,2022-07-03,561.26,CardExpired,App,3,185,2022-09-01,4574.19,CardExpired,Branch,1,226,,,,,,,,,,,,,,,,,,,,,,
600017,Other,13453,3,Low,1,0,0,Loan,2,0,Expired,2019-03-27,6991.8,CardExpired,CallCenter,1,202,2019-05-26,10112.15,TechnicalError,App,3,174,,,,,,,,,,,,,,,,,,,,,172,2020-03-03,,,131,2024-04-15,,
600018,Other,11416,2,High,0,0,0,CreditCard,4,0,Expired,2024-01-29,2924.4,TechnicalError,App,2,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,2025-11-27,,,121,2020-07-05
600019,Other,46683,2,Low,0,0,1,CreditCard,3,0,Expired,2019-11-12,10155.72,TechnicalError,CallCenter,2,197,2020-01-11,6228.38,InsufficientFunds,App,2,98,2020-03-11,12774.01,InsufficientFunds,CallCenter,2,79,2020-05-10,10933.52,CardExpired,App,3,74,,,,,,,139,2019-03-28,,,,,,,107,2024-10-16
600020,Male,90776,9,High,1,0,0,Mortgage,3,1,Expired,2020-06-24,10862.39,InsufficientFunds,CallCenter,2,182,2020-08-23,14676.99,CardExpired,Branch,3,35,2020-10-22,9846.64,CardExpired,CallCenter,3,203,,,,,,,,,,,,,134,2022-02-28,,,,,,,,
600021,Male,74385,3,Medium,0,0,0,Mortgage,2,0,Blocked,2016-11-20,1850.27,InsufficientFunds,App,3,161,2017-01-19,10890.47,CardExpired,Branch,2,74,2017-03-20,6752.66,InsufficientFunds,App,3,42,2017-05-19,1255.63,InsufficientFunds,Branch,2,16,2017-07-18,9178.03,InsufficientFunds,Branch,1,195,,,114,2017-01-31,131,2017-12-02,,,,
600022,Female,44359,8,Low,1,1,0,Mortgage,2,1,Expired,2022-10-13,4915.96,CardExpired,Branch,2,227,2022-12-12,8695.29,InsufficientFunds,Branch,2,23,2023-02-10,1053.56,CardExpired,Branch,1,171,2023-04-11,952.17,TechnicalError,App,3,212,,,,,,,,,,,,,,,,
600023,Female,41321,1,Medium,1,1,1,Mortgage,2,1,Blocked,2016-06-11,8093.56,InsufficientFunds,Branch,1,123,2016-08-10,345.9,TechnicalError,App,2,18,2016-10-09,10110.6,TechnicalError,Branch,3,216,2016-12-08,787.42,CardExpired,App,2,19,,,,,,,,,,,,,151,2021-06-03,,
600024,Female,32969,3,Low,0,0,0,Loan,3,0,Blocked,2016-09-30,828.58,InsufficientFunds,Branch,1,188,2016-11-29,13194.15,InsufficientFunds,CallCenter,3,216,2017-01-28,14177.69,CardExpired,Branch,3,225,,,,,,,,,,,,,,,,,145,2023-07-29,193,2021-07-03,,
600025,Female,48132,2,Low,0,1,0,Mortgage,4,1,Expired,2022-10-21,825.7,TechnicalError,Branch,2,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,2023-09-18,,,,
600026,Male,81109,5,High,1,1,0,Mortgage,1,0,Blocked,2021-07-26,13890.74,InsufficientFunds,Branch,2,109,2021-09-24,4211.08,CardExpired,CallCenter,3,148,,,,,,,,,,,,,,,,,,,113,2024-03-16,101,2022-03-19,157,2022-07-17,,,,
600027,Male,92471,1,Medium,1,0,1,Mortgage,2,0,Blocked,2024-12-19,7449.8,CardExpired,CallCenter,1,164,2025-02-17,5426.98,InsufficientFunds,App,3,50,2025-04-18,13287.65,InsufficientFunds,CallCenter,2,155,2025-06-17,12751.92,InsufficientFunds,CallCenter,2,41,2025-08-16,1913.56,InsufficientFunds,CallCenter,2,156,,,,,,,132,2023-08-22,,
600028,Male,87221,1,High,0,1,1,CreditCard,4,0,Active,2017-12-17,10946.55,CardExpired,Branch,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
